이름, 몸무게, 키, BMI, 결과
은섭,  68,  196, 17.700957934194086, 저체중
상경,  75,  197, 19.325414208044524, 정상 체중
상철,  51,  168, 18.069727891156464, 저체중
철욱,  57,  171, 19.49317738791423, 정상 체중
섭욱,  95,  158, 38.054798910431025, 과체중
민민,  51,  155, 21.227887617065555, 정상 체중
철욱,  57,  160, 22.265624999999996, 정상 체중
욱수,  79,  190, 21.88365650969529, 정상 체중
예민,  86,  151, 37.717643962984084, 과체중
채진,  68,  166, 24.677021338365513, 정상 체중
철철,  78,  189, 21.83589485176787, 정상 체중
은예,  41,  164, 15.24390243902439, 저체중
섭철,  90,  174, 29.72651605231867, 과체중
건은,  67,  175, 21.877551020408163, 정상 체중
경욱,  49,  155, 20.395421436004163, 정상 체중
경섭,  90,  157, 36.51263742951032, 과체중
수상,  42,  187, 12.010637993651521, 저체중
예건,  69,  190, 19.113573407202217, 정상 체중
섭경,  69,  152, 29.864958448753463, 과체중
수예,  55,  181, 16.788254326791, 저체중
상상,  73,  164, 27.14158239143367, 과체중
욱경,  87,  161, 33.56351992592878, 과체중
민민,  99,  174, 32.69916765755053, 과체중
상예,  43,  191, 11.786957594364189, 저체중
민진,  65,  180, 20.06172839506173, 정상 체중
상경,  62,  165, 22.773186409550046, 정상 체중
진섭,  44,  177, 14.044495515337227, 저체중
채은,  75,  150, 33.333333333333336, 과체중
은민,  68,  197, 17.52170888196037, 저체중
경수,  83,  195, 21.82774490466798, 정상 체중
예철,  93,  168, 32.95068027210885, 과체중
수욱,  43,  166, 15.604587022789953, 저체중
수섭,  71,  168, 25.155895691609977, 과체중
진욱,  49,  162, 18.67093430879439, 정상 체중
경경,  80,  176, 25.826446280991735, 과체중
민채,  41,  176, 13.236053719008265, 저체중
예수,  97,  166, 35.20104514443315, 과체중
상예,  82,  167, 29.402273297715947, 과체중
섭채,  42,  195, 11.045364891518737, 저체중
섭섭,  60,  174, 19.817677368212443, 정상 체중
욱건,  50,  157, 20.284798571950184, 정상 체중
섭섭,  89,  173, 29.737044338267236, 과체중
진채,  51,  196, 13.275718450645563, 저체중
철수,  68,  183, 20.305174833527428, 정상 체중
은섭,  82,  194, 21.787650122223404, 정상 체중
상은,  95,  152, 41.118421052631575, 과체중
경은,  55,  151, 24.121749046094468, 정상 체중
건진,  47,  155, 19.562955254942768, 정상 체중
진철,  89,  179, 27.776910832995224, 과체중
채건,  82,  153, 35.02926224956213, 과체중
진진,  91,  199, 22.979217696522817, 정상 체중
수민,  55,  174, 18.166204254194742, 저체중
경건,  72,  159, 28.479886080455678, 과체중
경은,  95,  180, 29.32098765432099, 과체중
채욱,  92,  179, 28.71321119815237, 과체중
욱은,  72,  178, 22.724403484408537, 정상 체중
예상,  90,  161, 34.72088268199529, 과체중
상은,  92,  185, 26.880934989043098, 과체중
상섭,  59,  150, 26.222222222222225, 과체중
경예,  43,  151, 18.858821981492042, 정상 체중
예욱,  96,  192, 26.041666666666664, 과체중
진상,  59,  170, 20.41522491349481, 정상 체중
철경,  97,  152, 41.98407202216066, 과체중
수진,  42,  169, 14.705367459122579, 저체중
상예,  41,  172, 13.858842617631153, 저체중
철건,  56,  164, 20.820939916716238, 정상 체중
수건,  50,  156, 20.5456936226167, 정상 체중
건욱,  72,  185, 21.0372534696859, 정상 체중
은상,  51,  198, 13.008876645240282, 저체중
경섭,  81,  174, 26.7538644470868, 과체중
섭상,  80,  186, 23.12406058503873, 정상 체중
진수,  76,  172, 25.689561925365062, 과체중
상철,  89,  173, 29.737044338267236, 과체중
욱섭,  45,  171, 15.389350569405972, 저체중
상욱,  50,  162, 19.051973784484073, 정상 체중
경민,  92,  189, 25.755158030290303, 과체중
건상,  63,  192, 17.08984375, 저체중
욱경,  70,  190, 19.390581717451525, 정상 체중
민예,  79,  175, 25.795918367346935, 과체중
건욱,  67,  182, 20.227025721531216, 정상 체중
수건,  80,  168, 28.34467120181406, 과체중
철채,  66,  179, 20.598608033457136, 정상 체중
채진,  45,  181, 13.735844449192637, 저체중
민섭,  68,  170, 23.52941176470588, 정상 체중
경채,  61,  157, 24.74745425777922, 정상 체중
민수,  92,  195, 24.194608809993426, 정상 체중
채경,  76,  162, 28.95900015241579, 과체중
진경,  80,  193, 21.47708663319821, 정상 체중
수건,  89,  199, 22.474179944950887, 정상 체중
건채,  90,  181, 27.471688898385274, 과체중
예민,  57,  185, 16.654492330168004, 저체중
경은,  69,  175, 22.53061224489796, 정상 체중
수건,  61,  197, 15.718003555876214, 저체중
상은,  75,  182, 22.642192971863302, 정상 체중
건상,  74,  199, 18.68639680816141, 정상 체중
철진,  58,  198, 14.794408733802673, 저체중
섭욱,  88,  154, 37.10575139146568, 과체중
상은,  65,  156, 26.70940170940171, 과체중
건수,  87,  186, 25.14741588622962, 과체중
건은,  53,  173, 17.708576965484983, 저체중
진경,  96,  168, 34.01360544217687, 과체중
진욱,  79,  190, 21.88365650969529, 정상 체중
섭욱,  60,  181, 18.314459265590184, 저체중
민수,  87,  171, 29.752744434184876, 과체중
